Well,Well Position,Sample,Experiment,Temperature,RP5,E3UL,Actine,Hsp70_13,Hsp70_i,HIF,PK,CS,Hsp70_B2,Hsp70_A2,Hsp70_12A,Hsp70_C4,SOD,PEPCK,GAPDH,COXIII,ENO,HK,GLR,LON,AspAT,GST,LCF
75,G3,134,combined,24.C,22.99,29.067,19.119,29.57941055,31.19000244,26.504,25.96,28.363,29.075,29.425,31.828,22.579,27.113,27.039,22.566,19.98180704,23.956,20.035,28.96,29.45859937,26.28846432,24.974,26.49
76,G4,134,combined,24.C,23.2,28.49,19.165,29.71156311,30.72006607,26.548,25.964,28,28.848,29.36,32.821,23.228,26.88,26.929,22.579,19.92189722,23.758,20.094,28.868,29.48418263,26.19015767,24.806,26.413
75,G3,135,combined,24.C,22.354,27.671,16.509,NA,28.9662838,25.962,23.98,27.086,26.202,27.313,NA,24.085,26.396,26.969,21.674,19.24769592,22.926,21.963,28.238,28.50419807,24.95555305,25.947,25.908
76,G4,135,combined,24.C,22.537,27.454,16.415,29.50844193,28.92730522,25.963,24.115,26.926,26.098,27.325,29.155,24.146,26.427,27.141,21.698,19.14141083,22.752,19.93,28.069,28.52735519,24.98330879,25.988,26.228
43,D7,136,combined,24.C,21.588,27.266,15.963,28.72706032,30.8640461,25.588,23.702,25.775,26.24,27.908,29.168,23.248,25.908,24.624,20.461,17.6043065,21.812,18.82,28.481,28.16059712,24.61079289,26.706,25.792
44,D8,136,combined,24.C,21.711,27.235,15.959,28.64130402,31.22119141,25.453,23.779,25.878,26.275,27.881,29.214,23.769,25.843,24.558,20.472,18.93793802,21.827,18.981,28.322,27.94876889,24.6314037,26.76,25.753
15,B3,138,combined,24.C,21.977,27.529,15.999,28.83262634,30.89530945,26.091,23.503,26.206,26.349,27.265,28.961,24.793,26.314,26.315,20.829,18.86361504,22.2,19.177,27.45,28.20424461,24.86251259,25.736,25.846
16,B4,138,combined,24.C,22.091,27.544,16.182,29.21656418,31.34457016,26.319,NA,26.171,24.984,27.486,NA,24.862,26.387,26.386,20.925,19.40786552,22.139,19.319,27.552,28.59783173,24.84668732,25.795,26.049
85,H1,141,combined,30.C,21.317,26.948,16.599,26.7992897,22.65085793,24.177,24.949,27.836,21.92,23.494,28.549,21.974,27.09,25.197,21.95,18.44716005,23.378,20.083,28.714,26.73524312,25.67999341,25.259,25.44
86,H2,141,combined,30.C,21.405,26.647,16.668,26.62378311,22.70452499,24.125,24.892,27.848,21.941,23.598,28.898,22.078,26.922,25.18,21.714,18.24908762,23.292,19.846,28.78,26.7860854,25.69293286,25.022,25.221
87,H3,145,combined,30.C,22.12,27.11,16.716,27.04038239,22.33636284,24.629,25.05,27.13,21.447,24.15,28.625,21.467,26.983,26.186,21.944,18.89931802,23.235,19.726,28.458,27.35253743,26.04545285,25.494,25.682
88,H4,145,combined,30.C,22.816,27.01,16.761,26.96538734,22.36821365,24.725,25.066,26.616,21.47,24.103,28.508,21.66,26.85,26.223,21.976,18.99577455,23.553,19.633,28.628,27.1701701,26.04765012,25.511,25.622
1,A1,146,combined,30.C,21.446,26.569,16.948,26.23861885,22.23860931,23.949,24.475,27.893,21.18,22.496,28.547,21.954,26.232,25.137,21,17.9180088,23.188,20.099,26.855,26.26790428,24.61893272,23.253,25.116
2,A2,146,combined,30.C,21.492,26.661,16.876,26.23164558,NA,23.992,24.578,27.651,21.267,22.559,28.441,21.98,26.133,25.221,21.171,17.99243164,22.992,20.141,26.784,26.13443756,24.56194496,23.044,NA
1,A1,146,combined,30.C,21.63,26.656,16.814,25.87681961,22.1596508,24.142,24.82,27.313,21.341,22.808,28.878,21.86,26.275,25.367,21.247,18.14519434,23.214,20.192,26.886,26.48803357,24.65834882,23.285,25.341
2,A2,146,combined,30.C,21.568,26.649,16.795,25.74575233,22.09030914,23.987,24.915,27.216,21.398,22.832,28.534,21.681,26.421,25.339,21.215,17.75088052,22.782,20.02,26.917,26.33912877,24.58628156,23.142,25.081
57,E9,150,combined,30.C,22.393,27.286,17.182,27.38209343,21.73266029,23.851,25.158,27.028,21.486,23.944,28.645,20.075,26.719,26.889,22.452,17.97675256,25.041,19.946,28.842,27.15769414,25.70297887,26.256,25.721
58,E10,150,combined,30.C,22.417,27.42,17.284,27.38870239,21.77966881,24.088,25.36,27.302,21.515,23.855,28.743,20.291,26.738,26.885,22.462,19.8104928,24.481,20.005,28.641,27.16185788,25.81298711,26.111,25.65
69,F9,151,combined,32.C,22.834,27.665,17.286,27.54987144,20.26878738,23.526,25.803,27.995,20.691,21.323,29.186,20.794,28.109,26.356,22.887,20.14553766,24.769,20.685,29.23,27.55559186,26.35233571,26.043,26.288
