Well,Well Position,Sample,Experiment,Temperature,RP5,E3UL,Actine,Hsp70_13,Hsp70_i,HIF,PK,CS,Hsp70_B2,Hsp70_A2,Hsp70_12A,Hsp70_C4,SOD,PEPCK,GAPDH,COXIII,ENO,HK,GLR,LON,AspAT,GST,LCF
70,F10,66,hypoxia,30.C,23.067,29.306,23.035,27.893,25.736,26.041,28.024,28.295,25.377,27.364,30.852,23.146,27.85399931,27.388,25.423,20.16504478,26.768,25.408,28.631,28.233,26.7052711,22.86773344,27.39955312
55,E7,67,hypoxia,30.C,22.227,27.126,21.289,26.154,24.952,24.139,25.875,26.22,24.556,26.43,29.618,21.895,27.07599944,25.775,24.488,18.9337616,25.08,23.97,26.798,26.896,25.67899738,22.90521475,25.95950299
56,E8,67,hypoxia,30.C,22.271,27.114,21.35,26.343,24.974,24.076,25.668,26.11,24.603,26.319,29.532,21.796,27.05000037,25.961,24.594,19.16329575,25.065,24.009,26.851,26.742,25.66493449,22.75745245,25.87921696
55,E7,69,hypoxia,30.C,20.797,25.539,19.869,25.074,22.887,22.628,24.802,25.932,23.841,24.829,28.753,20.399,26.69000053,23.303,23.507,17.60374069,24.585,20.976,26.376,27.049,26.39920425,22.11572266,25.66742325
56,E8,69,hypoxia,30.C,20.991,25.461,19.96,25.365,22.78,22.521,24.893,NA,24.036,NA,28.248,20.597,26.69099998,23.775,23.61,17.60962296,24.43,22.866,25.944,26.872,26.1836834,21.91253281,25.02552032
59,E11,72,hypoxia,32.C,20.973,26.767,20.151,26.068,23.138,22.867,24.533,25.377,23.181,25.569,27.558,20.895,NA,23.423,22.719,17.72963905,23.419,22.934,25.694,24.99,24.22182465,19.84175301,24.24625397
60,E12,72,hypoxia,32.C,20.772,25.822,20.163,26.191,23.262,22.877,24.496,25.476,23.259,25.623,27.538,20.921,26.8390007,23.434,22.74,18.00210571,23.971,22.934,25.67,24.913,24.28395653,19.90770912,24.31599236
37,D1,73,hypoxia,32.C,21.196,26.24,20.843,25.986,23.177,23.225,24.969,25.682,22.532,25.416,28.123,21.349,26.48199957,24.896,23.471,17.37584305,24.568,23.574,26.595,24.936,24.40382991,20.74855658,24.60294324
38,D2,73,hypoxia,32.C,21.122,26.061,20.76,25.893,23.194,23.088,24.848,25.649,22.595,25.42,28.159,21.26,26.60800093,24.91,23.42,16.9967804,24.351,23.441,26.648,24.876,24.29319987,20.58713194,24.71943074
19,B7,75,hypoxia,32.C,20.41,25.426,20.409,25.341,22.409,22.71,24.443,25.179,21.826,23.73,28.073,20.73,26.13099974,23.784,23.006,17.51382828,23.926,22.639,26.295,24.376,23.83970866,21.68029257,24.20992642
20,B8,75,hypoxia,32.C,20.457,25.443,20.441,25.318,22.383,22.648,24.641,25.606,21.843,23.92,27.946,20.657,26.16700095,23.783,23.203,17.7267971,23.887,22.659,26.2,24.364,23.95682368,21.67284056,24.19483167
35,C11,76,hypoxia,32.C,21.26,26.222,20.667,25.769,22.178,23.062,25.177,25.499,22.89,24.141,28.862,21.347,26.74799919,24.132,23.215,18.09884453,24.989,23.7,26.965,25.32,24.30154991,22.22272491,24.48674774
36,C12,76,hypoxia,32.C,21.253,26.359,20.663,25.772,22.267,23.117,25.286,25.461,22.885,24.106,28.72,21.247,26.72599983,24.136,23.196,17.83414841,24.979,23.655,26.834,25.354,24.40395546,22.19443703,24.59410477
69,F9,78,hypoxia,32.C,20.943,26.247,20.515,25.923,22.958,23.1,24.877,24.89,23.035,25.007,27.666,21.143,26.3409996,23.912,22.972,17.91071129,24.564,22.666,25.886,24.875,24.51573944,19.98452377,24.60180664
70,F10,78,hypoxia,32.C,20.957,25.969,20.69,25.838,23.368,23.023,25.194,24.939,23.208,25.066,27.969,21.12,26.27899933,24.088,23.008,18.10070229,24.494,22.314,25.837,24.985,24.5668602,20.05693817,24.53489494
61,F1,81,hypercapnia,18.C,22.05,26.883,20.382,28.421,32.658,23.282,24.868,25.469,29.704,29.384,28.528,24.703,26.16599959,28.545,23.354,18.98830223,24.217,22.974,26.551,27.354,24.33103023,23.0555062,25.56138974
62,F2,81,hypercapnia,18.C,22.217,26.734,20.315,29.144,32.788,23.171,24.989,25.543,29.785,29.894,28.527,24.827,26.23499983,28.477,23.329,17.26679993,24,22.929,26.629,27.486,24.33189235,22.95632788,25.36877614
79,G7,83,hypercapnia,18.C,21.377,25.969,19.367,27.581,31.96,22.324,24.102,24.505,28.685,28.467,27.958,24.16,25.40000075,27.569,22.432,17.94497108,23.439,22.359,26.131,26.717,23.54589114,23.3559117,24.57249242
80,G8,83,hypercapnia,18.C,21.344,25.968,19.467,27.739,31.692,22.344,24.188,24.578,28.644,28.586,27.961,24.086,25.43900031,27.824,22.539,17.85945511,23.265,22.345,26.085,26.513,23.60396609,23.45653006,24.45598775
93,H9,84,hypercapnia,18.C,21.67,26.113,19.902,27.673,31.087,22.925,24.626,25.219,29.166,28.69,28.086,24.298,25.74800032,26.293,23.217,18.58965302,23.961,22.611,26.61,26.533,23.95662151,22.61825034,25.16013318
94,H10,84,hypercapnia,18.C,21.545,NA,19.928,27.629,31.411,22.678,24.555,25.165,29.011,28.595,27.967,24.464,25.81400031,26.271,23.119,18.07339478,23.927,22.528,26.669,26.611,23.85074077,22.53875777,24.97158604
49,E1,85,hypercapnia,18.C,22.045,26.711,20.012,27.945,31.644,23.22,24.981,24.898,29.101,29.607,28.753,24.371,26.8220005,28.663,23.341,19.10665512,24.631,23.369,26.969,27.866,24.67499733,24.70449448,25.28017235
